127.0.0.1 - - [28/Sep/2014:18:20:53 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Sep/2014:18:20:54 +0300] "GET /AirlineZemliakov/ HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [28/Sep/2014:18:20:54 +0300] "GET /AirlineZemliakov/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2014:18:20:54 +0300] "GET /AirlineZemliakov/images/bg_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2014:18:20:54 +0300] "GET /AirlineZemliakov/images/bg_top_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2014:18:20:56 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [28/Sep/2014:18:20:58 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 2591
0:0:0:0:0:0:0:1 - - [28/Sep/2014:18:42:36 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 2597
0:0:0:0:0:0:0:1 - - [28/Sep/2014:18:42:37 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 2591
0:0:0:0:0:0:0:1 - - [28/Sep/2014:18:42:38 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 2597
0:0:0:0:0:0:0:1 - - [28/Sep/2014:18:42:39 +0300] "POST /AirlineZemliakov/controller HTTP/1.1" 200 2591
